Company,Ticker
Reliance Industries Ltd.,RELIANCE.NS
HDFC Bank Ltd.,HDFCBANK.NS
ICICI Bank Ltd.,ICICIBANK.NS
Infosys Ltd.,INFY.NS
Tata Consultancy Services Ltd.,TCS.NS
Larsen & Toubro Ltd.,LT.NS
ITC Ltd.,ITC.NS
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS
Hindustan Unilever Ltd.,HINDUNILVR.NS
Bharti Airtel Ltd.,BHARTIARTL.NS
Axis Bank Ltd.,AXISBANK.NS
State Bank of India,SBIN.NS
Bajaj Finance Ltd.,BAJFINANCE.NS
Maruti Suzuki India Ltd.,MARUTI.NS
Titan Company Ltd.,TITAN.NS
Wipro Ltd.,WIPRO.NS
NTPC Ltd.,NTPC.NS
UltraTech Cement Ltd.,ULTRACEMCO.NS
HCL Technologies Ltd.,HCLTECH.NS
Asian Paints Ltd.,ASIANPAINT.NS
